dc1,dc2,c*Nx,V(mm鲁),P,,dc1,dc2,c*Nx,V(mm鲁),P,,dc1,dc2,c*Nx,V(mm鲁),P,,dc1,dc2,Nx*c,V(mm鲁),P
7,1.4,4,5000.03 ,0.87 ,,10.5,4.1,7.5,17182.38 ,0.82 ,,,,,,,,9.6,4.6,6,10386.432,0.719632521
7,1.8,4,5194.21 ,0.88 ,,10.5,4.1,5,9657.90 ,0.84 ,,,,,,,,9.6,4.8,6,8946.08,0.77498953
7,1.8,4,5896.13 ,0.86 ,,10.5,4.1,5,11037.60 ,0.83 ,,,,,,,,9.6,4.8,6,10510.08,0.733974725
7,2.2,4,6116.54 ,0.88 ,,10.5,4.1,6,9607.80 ,0.72 ,,,,,,,,9.6,5,6,9051.328,0.790133312
7,2.4,4,5485.47 ,0.92 ,,10.5,4.1,6,10408.45 ,0.95 ,,,,,,,,9.6,1,6,7553.568,0.800272748
7,2.4,4,6226.75 ,0.90 ,,10.5,4.1,7,9194.50 ,0.99 ,,,,,,,,9.6,1.2,6,8900.816,0.768411621
7,3,4,6557.38 ,0.93 ,,10.5,4.1,7,10113.95 ,0.72 ,,,,,,,,9.6,1.6,6,9166.512,0.778951392
7,3.2,4,5873.82 ,0.97 ,,10.5,4.1,7,11952.85 ,0.68 ,,,,,,,,9.6,1.8,6,8011.36,0.808746427
7,3.8,4,6998.21 ,0.98 ,,10.5,4.1,7,11033.40 ,0.95 ,,,,,,,,9.6,2,6,9432.208,0.789353281
7,4,4,7108.42 ,1.00 ,,11.1,4.8,2,8339.93 ,0.54 ,,,,,,,,9.6,2.2,6,8240.256,0.822778627
7,1,4,5130.58 ,0.99 ,,11.1,4.8,2,9247.43 ,0.51 ,,,,,,,,9.6,2.2,6,9565.056,0.804638349
7,1.2,4,5896.78 ,0.97 ,,11.1,4.8,3,8393.64 ,0.50 ,,,,,,,,9.6,2.6,6,9830.752,0.823696375
7,2.6,5,4968.00 ,0.88 ,,11.1,4.8,3,9485.14 ,0.47 ,,,,,,,,9.6,2.8,6,8583.6,0.86177291
7,4.2,5,6641.66 ,0.81 ,,11.1,4.8,4.5,14240.53 ,0.73 ,,,,,,,,9.6,3.2,6,10229.296,0.857105784
7,2.4,7.5,10597.39 ,0.98 ,,11.1,4.8,3,9485.14 ,0.64 ,,,,,,,,9.6,3.4,6,8926.944,0.901590139
7,1.2,5,4820.06 ,0.84 ,,11.1,4.8,4.5,15288.65 ,0.86 ,,,,,,,,9.6,3.8,6,10627.84,0.888153426
7,1.8,5,5080.61 ,0.84 ,,11.1,4.8,4.5,16686.15 ,0.84 ,,,,,,,,9.6,4,6,9270.288,0.931638494
7,2.4,5,6246.43 ,0.79 ,,11.1,4.8,3,11122.39 ,0.75 ,,,,,,,,9.6,4,6,10760.688,0.900967456
7,2.6,5,5428.00 ,0.88 ,,11.1,4.8,4,8640.14 ,0.55 ,,,,,,,,9.6,4.2,6,9384.736,0.944559902
